idpedido   cliente   idempleado   idempresa   importe   pais
10298      HUNGO     0000000006   000000002    168.22   Irlanda
10299      RICAR     0000000004   000000002     29.76   Brasil
10300      MAGAA     0000000002   000000002     17.68   Italia
10301      WANDK     0000000008   000000002     45.08   Alemania
10302      SUPRD     0000000004   000000002      6.27   Belgica
10303      GODOS     0000000007   000000002    107.83   Espanya
10304      TORTU     0000000001   000000002     63.79   Mexico
10305      OLDWO     0000000008   000000003    257.62   Estados Unidos
10306      ROMEY     0000000001   000000003      7.56   Espanya
10307      LONEP     0000000002   000000002      0.56   Estados Unidos
10308      ANATR     0000000007   000000003      1.61   Mexico
10309      HUNGO     0000000003   000000001     47.30   Irlanda
10310      THEBI     0000000008   000000002     17.52   Estados Unidos
10311      DUMON     0000000001   000000003     24.69   Francia
10312      WANDK     0000000002   000000002     40.26   Alemania
10313      QUICK     0000000002   000000002      1.96   Alemania
10314      RATTC     0000000001   000000002     74.16   Estados Unidos
10315      ISLAT     0000000004   000000002     41.76   Reino Unido
10316      RATTC     0000000001   000000003    150.15   Estados Unidos
10317      LONEP     0000000006   000000001     12.69   Estados Unidos
10318      ISLAT     0000000008   000000002      4.73   Reino Unido
10319      TORTU     0000000007   000000003     64.50   Mexico
10320      WARTH     0000000005   000000003     34.57   Finlandia
10321      ISLAT     0000000003   000000002      3.43   Reino Unido
10322      PERIC     0000000007   000000003      0.40   Mexico
10323      KOENE     0000000004   000000001      4.88   Alemania
10324      SAVEA     0000000009   000000001    214.27   Estados Unidos
10325      KOENE     0000000001   000000003     64.86   Alemania
10326      BOLID     0000000004   000000002     77.92   Espanya
10327      FOLKO     0000000002   000000001     63.36   Suecia
10328      FURIB     0000000004   000000003     87.03   Portugal
10329      SPLIR     0000000004   000000002    191.67   Estados Unidos
10330      LILAS     0000000003   000000001     12.75   Venezuela
10331      BONAP     0000000009   000000001     10.19   Francia
10332      MEREP     0000000003   000000002     52.84   Canada
10333      WARTH     0000000005   000000003      0.59   Finlandia
10334      VICTE     0000000008   000000002      8.56   Francia
10335      HUNGO     0000000007   000000002     42.11   Irlanda
10336      PRINI     0000000007   000000002     15.51   Portugal
10337      FRANK     0000000004   000000003    108.26   Alemania
10338      OLDWO     0000000004   000000003     84.21   Estados Unidos
10339      MEREP     0000000002   000000002     15.66   Canada
10340      BONAP     0000000001   000000003    166.31   Francia
10341      SIMOB     0000000007   000000003     26.78   Dinamarca
10342      FRANK     0000000004   000000002     54.83   Alemania
10343      LEHMS     0000000004   000000001    110.37   Alemania
10344      WHITC     0000000004   000000002     23.29   Estados Unidos
10345      QUICK     0000000002   000000002    249.06   Alemania
10346      RATTC     0000000003   000000003    142.08   Estados Unidos
10347      FAMIA     0000000004   000000003      3.10   Brasil
10348      WANDK     0000000004   000000002      0.78   Alemania
10349      SPLIR     0000000007   000000001      8.63   Estados Unidos
10350      LAMAI     0000000006   000000002     64.19   Francia
10351      ERNSH     0000000001   000000001    162.33   Austria
10352      FURIB     0000000003   000000003      1.30   Portugal
10353      PICCO     0000000007   000000003    360.63   Austria
10354      PERIC     0000000008   000000003     53.80   Mexico
10355      AROUT     0000000006   000000001     41.95   Reino Unido
10356      WANDK     0000000006   000000002     36.71   Alemania
10357      LILAS     0000000001   000000003     34.88   Venezuela
10358      LAMAI     0000000005   000000001     19.64   Francia
10359      SEVES     0000000005   000000003    288.43   Reino Unido
10360      BLONP     0000000004   000000003    131.70   Francia
10361      QUICK     0000000001   000000002    183.17   Alemania
10362      BONAP     0000000003   000000001     96.04   Francia
10363      DRACD     0000000004   000000003     30.54   Alemania
10364      EASTC     0000000001   000000001     71.97   Reino Unido
10365      ANTON     0000000003   000000002     22.00   Mexico
10366      GALED     0000000008   000000002     10.14   Espanya
10367      VAFFE     0000000007   000000003     13.55   Dinamarca
10368      ERNSH     0000000002   000000002    101.95   Austria
10369      SPLIR     0000000008   000000002    195.68   Estados Unidos
10370      CHOPS     0000000006   000000002      1.17   Suiza
10371      LAMAI     0000000001   000000001      0.45   Francia
10372      QUEEN     0000000005   000000002    890.78   Brasil
10373      HUNGO     0000000004   000000003    124.12   Irlanda
10374      WOLZA     0000000001   000000003      3.94   Polonia
10375      HUNGC     0000000003   000000002     20.12   Estados Unidos
10376      MEREP     0000000001   000000002     20.39   Canada
10377      SEVES     0000000001   000000003     22.21   Reino Unido
10378      FOLKO     0000000005   000000003      5.44   Suecia
10379      QUEDE     0000000002   000000001     45.03   Brasil
10380      HUNGO     0000000008   000000003     35.03   Irlanda
10381      LILAS     0000000003   000000003      7.99   Venezuela
10382      ERNSH     0000000004   000000001     94.77   Austria
10383      AROUT     0000000008   000000003     34.24   Reino Unido
10384      BERGS     0000000003   000000003    168.64   Suecia
10385      SPLIR     0000000001   000000002     30.96   Estados Unidos
10386      FAMIA     0000000009   000000003     13.99   Brasil
10387      SANTG     0000000001   000000002     93.63   Noruega
10388      SEVES     0000000002   000000001     34.86   Reino Unido
10389      BOTTM     0000000004   000000002     47.42   Canada
10390      ERNSH     0000000006   000000001    126.38   Austria
10391      DRACD     0000000003   000000003      5.45   Alemania
10392      PICCO     0000000002   000000003    122.46   Austria
10393      SAVEA     0000000001   000000003    126.56   Estados Unidos
10394      HUNGC     0000000001   000000003     30.34   Estados Unidos
10395      HILAA     0000000006   000000001    184.41   Venezuela
10396      FRANK     0000000001   000000003    135.35   Alemania
10397      PRINI     0000000005   000000001     60.26   Portugal
10398      SAVEA     0000000002   000000003     89.16   Estados Unidos
10399      VAFFE     0000000008   000000003     27.36   Dinamarca
10400      EASTC     0000000001   000000003     83.93   Reino Unido
10401      RATTC     0000000001   000000001     12.51   Estados Unidos
10402      ERNSH     0000000008   000000002     67.88   Austria
10403      ERNSH     0000000004   000000003     73.79   Austria
10404      MAGAA     0000000002   000000001    155.97   Italia
10405      LINOD     0000000001   000000001     34.82   Venezuela
10406      QUEEN     0000000007   000000001    108.04   Brasil
10407      OTTIK     0000000002   000000002     91.48   Alemania
10408      FOLIG     0000000008   000000001     11.26   Francia
10409      OCEAN     0000000003   000000001     29.83   Argentina
10410      BOTTM     0000000003   000000003      2.40   Canada
10411      BOTTM     0000000009   000000003     23.65   Canada
10412      WARTH     0000000008   000000002      3.77   Finlandia
10413      LAMAI     0000000003   000000002     95.66   Francia
10414      FAMIA     0000000002   000000003     21.48   Brasil
10415      HUNGC     0000000003   000000001      0.20   Estados Unidos
10416      WARTH     0000000008   000000003     22.72   Finlandia
10417      SIMOB     0000000004   000000003     70.29   Dinamarca
10418      QUICK     0000000004   000000001     17.55   Alemania
10419      RICSU     0000000004   000000002    137.35   Suiza
10420      WELLI     0000000003   000000001     44.12   Brasil
10421      QUEDE     0000000008   000000001     99.23   Brasil
10422      FRANS     0000000002   000000001      3.02   Italia
10423      GOURL     0000000006   000000003     24.50   Brasil
10424      MEREP     0000000007   000000002    370.61   Canada
10425      LAMAI     0000000006   000000002      7.93   Francia
10426      GALED     0000000004   000000001     18.69   Espanya
10427      PICCO     0000000004   000000002     31.29   Austria
10428      REGGC     0000000007   000000001     11.09   Italia
10429      HUNGO     0000000003   000000002     56.63   Irlanda
10430      ERNSH     0000000004   000000001    458.78   Austria
10431      BOTTM     0000000004   000000002     44.17   Canada
10432      SPLIR     0000000003   000000002      4.34   Estados Unidos
10433      PRINI     0000000003   000000003     73.83   Portugal
10434      FOLKO     0000000003   000000002     17.92   Suecia
10435      CONSH     0000000008   000000002      9.21   Reino Unido
10436      BLONP     0000000003   000000002    156.66   Francia
10437      WARTH     0000000008   000000001     19.97   Finlandia
10438      TOMSP     0000000003   000000002      8.24   Alemania
10439      MEREP     0000000006   000000003      4.07   Canada
10440      SAVEA     0000000004   000000002     86.53   Estados Unidos
10441      OLDWO     0000000003   000000002     73.02   Estados Unidos
10442      ERNSH     0000000003   000000002     47.94   Austria
10443      REGGC     0000000008   000000001     13.95   Italia
10444      BERGS     0000000003   000000003      3.50   Suecia
10445      BERGS     0000000003   000000001      9.30   Suecia
10446      TOMSP     0000000006   000000001     14.68   Alemania
10447      RICAR     0000000004   000000002     68.66   Brasil
10448      RANCH     0000000004   000000002     38.82   Argentina
10449      BLONP     0000000003   000000002     53.30   Francia
10450      VICTE     0000000008   000000002      7.23   Francia
10451      QUICK     0000000004   000000003    189.09   Alemania
10452      SAVEA     0000000008   000000001    140.26   Estados Unidos
10453      AROUT     0000000001   000000002     25.36   Reino Unido
10454      LAMAI     0000000004   000000003      2.74   Francia
10455      WARTH     0000000008   000000002    180.45   Finlandia
10456      KOENE     0000000008   000000002      8.12   Alemania
10457      KOENE     0000000002   000000001     11.57   Alemania
10458      SUPRD     0000000007   000000003    147.06   Belgica
10459      VICTE     0000000004   000000002     25.09   Francia
10460      FOLKO     0000000008   000000001     16.27   Suecia
10461      LILAS     0000000001   000000003    148.61   Venezuela
10462      CONSH     0000000002   000000001      6.17   Reino Unido
10463      SUPRD     0000000005   000000003     14.78   Belgica
10464      FURIB     0000000004   000000002     89.00   Portugal
10465      VAFFE     0000000001   000000003    145.04   Dinamarca
10466      COMMI     0000000004   000000001     11.93   Brasil
10467      MAGAA     0000000008   000000002      4.93   Italia
10468      KOENE     0000000003   000000003     44.12   Alemania
10469      WHITC     0000000001   000000001     60.18   Estados Unidos
10470      BONAP     0000000004   000000002     64.56   Francia
10471      BSBEV     0000000002   000000003     45.59   Reino Unido
10472      SEVES     0000000008   000000001      4.20   Reino Unido
10473      ISLAT     0000000001   000000003     16.37   Reino Unido
10474      PERIC     0000000005   000000002     83.49   Mexico
10475      SUPRD     0000000009   000000001     68.52   Belgica
10476      HILAA     0000000008   000000003      4.41   Venezuela
10477      PRINI     0000000005   000000002     13.02   Portugal
10478      VICTE     0000000002   000000003      4.81   Francia
10479      RATTC     0000000003   000000003    708.95   Estados Unidos
10480      FOLIG     0000000006   000000002      1.35   Francia
10481      RICAR     0000000008   000000002     64.33   Brasil
10482      LAZYK     0000000001   000000003      7.48   Estados Unidos
10483      WHITC     0000000007   000000002     15.28   Estados Unidos
10484      BSBEV     0000000003   000000003      6.88   Reino Unido
10485      LINOD     0000000004   000000002     64.45   Venezuela
10486      HILAA     0000000001   000000002     30.53   Venezuela
10487      QUEEN     0000000002   000000002     71.07   Brasil
10488      FRANK     0000000008   000000002      4.93   Alemania
10489      PICCO     0000000006   000000002      5.29   Austria
10490      HILAA     0000000007   000000002    210.19   Venezuela
10491      FURIB     0000000008   000000003     16.96   Portugal
10492      BOTTM     0000000003   000000001     62.89   Canada
10493      LAMAI     0000000004   000000003     10.64   Francia
10494      COMMI     0000000004   000000002     65.99   Brasil
10495      LAUGB     0000000003   000000003      4.65   Canada
10496      TRADH     0000000007   000000002     46.77   Brasil
10497      LEHMS     0000000007   000000001     36.21   Alemania
10498      HILAA     0000000008   000000002     29.75   Venezuela
10499      LILAS     0000000004   000000002    102.02   Venezuela
10500      LAMAI     0000000006   000000001     42.68   Francia
10501      BLAUS     0000000009   000000003      8.85   Alemania
10502      PERIC     0000000002   000000001     69.32   Mexico
10503      HUNGO     0000000006   000000002     16.74   Irlanda
10504      WHITC     0000000004   000000003     59.13   Estados Unidos
10505      MEREP     0000000003   000000003      7.13   Canada
10506      KOENE     0000000009   000000002     21.19   Alemania
10507      ANTON     0000000007   000000001     47.45   Mexico
10508      OTTIK     0000000001   000000002      4.99   Alemania
10509      BLAUS     0000000004   000000001      0.15   Alemania
10510      SAVEA     0000000006   000000003    367.63   Estados Unidos
10511      BONAP     0000000004   000000003    350.64   Francia
10512      FAMIA     0000000007   000000002      3.53   Brasil
10513      WANDK     0000000007   000000001    105.65   Alemania
10514      ERNSH     0000000003   000000002    789.95   Austria
10515      QUICK     0000000002   000000001    204.47   Alemania
10516      HUNGO     0000000002   000000003     62.78   Irlanda
10517      NORTS     0000000003   000000003     32.07   Reino Unido
10518      TORTU     0000000004   000000002    218.15   Mexico
10519      CHOPS     0000000006   000000003     91.76   Suiza
10520      SANTG     0000000007   000000001     13.37   Noruega
10521      CACTU     0000000008   000000002     17.22   Argentina
10522      LEHMS     0000000004   000000001     45.33   Alemania
10523      SEVES     0000000007   000000002     77.63   Reino Unido
10524      BERGS     0000000001   000000002    244.79   Suecia
10525      BONAP     0000000001   000000002     11.06   Francia
10526      WARTH     0000000004   000000002     58.59   Finlandia
10527      QUICK     0000000007   000000001     41.90   Alemania
10528      GREAL     0000000006   000000002      3.35   Estados Unidos
10529      MAISD     0000000005   000000002     66.69   Belgica
10530      PICCO     0000000003   000000002    339.22   Austria
10531      OCEAN     0000000007   000000001      8.12   Argentina
10532      EASTC     0000000007   000000003     74.46   Reino Unido
10533      FOLKO     0000000008   000000001    188.04   Suecia
10534      LEHMS     0000000008   000000002     27.94   Alemania
10535      ANTON     0000000004   000000001     15.64   Mexico
10536      LEHMS     0000000003   000000002     58.88   Alemania
10537      RICSU     0000000001   000000001     78.85   Suiza
10538      BSBEV     0000000009   000000003      4.87   Reino Unido
10539      BSBEV     0000000006   000000003     12.36   Reino Unido
10540      QUICK     0000000003   000000003   1007.64   Alemania
10541      HANAR     0000000002   000000001     68.65   Brasil
10542      KOENE     0000000001   000000003     10.95   Alemania
10543      LILAS     0000000008   000000002     48.17   Venezuela
10544      LONEP     0000000004   000000001     24.91   Estados Unidos
10545      LAZYK     0000000008   000000002     11.92   Estados Unidos
10546      VICTE     0000000001   000000003    194.72   Francia
10547      SEVES     0000000003   000000002    178.43   Reino Unido
10548      TOMSP     0000000003   000000002      1.43   Alemania
10549      QUICK     0000000005   000000001    171.24   Alemania
10550      GODOS     0000000007   000000003      4.32   Espanya
10551      FURIB     0000000004   000000003     72.95   Portugal
10552      HILAA     0000000002   000000001     83.22   Venezuela
10553      WARTH     0000000002   000000002    149.49   Finlandia
10554      OTTIK     0000000004   000000003    120.97   Alemania
10555      SAVEA     0000000006   000000003    252.49   Estados Unidos
10556      SIMOB     0000000002   000000001      9.80   Dinamarca
10557      LEHMS     0000000009   000000002     96.72   Alemania
10558      AROUT     0000000001   000000002     72.97   Reino Unido
10559      BLONP     0000000006   000000001      8.05   Francia
10560      FRANK     0000000008   000000001     36.65   Alemania
10561      FOLKO     0000000002   000000002    242.21   Suecia
10562      REGGC     0000000001   000000001     22.95   Italia
10563      RICAR     0000000002   000000002     60.43   Brasil
10564      RATTC     0000000004   000000003     13.75   Estados Unidos
10565      MEREP     0000000008   000000002      7.15   Canada
10566      BLONP     0000000009   000000001     88.40   Francia
10567      HUNGO     0000000001   000000001     33.97   Irlanda
10568      GALED     0000000003   000000003      6.54   Espanya
10569      RATTC     0000000005   000000001     58.98   Estados Unidos
10570      MEREP     0000000003   000000003    188.99   Canada
10571      ERNSH     0000000008   000000003     26.06   Austria
10572      BERGS     0000000003   000000002    116.43   Suecia
10573      ANTON     0000000007   000000003     84.84   Mexico
10574      TRAIH     0000000004   000000002     37.60   Estados Unidos
10575      MORGK     0000000005   000000001    127.34   Alemania
10576      TORTU     0000000003   000000003     18.56   Mexico
10577      TRAIH     0000000009   000000002     25.41   Estados Unidos
10578      BSBEV     0000000004   000000003     29.60   Reino Unido
10579      LETSS     0000000001   000000002     13.73   Estados Unidos
10580      OTTIK     0000000004   000000003     75.89   Alemania
10581      FAMIA     0000000003   000000001      3.01   Brasil
10582      BLAUS     0000000003   000000002     27.71   Alemania
10583      WARTH     0000000002   000000002      7.28   Finlandia
10584      BLONP     0000000004   000000001     59.14   Francia
10585      WELLI     0000000007   000000001     13.41   Brasil
10586      REGGC     0000000009   000000001      0.48   Italia
10587      QUEDE     0000000001   000000001     62.52   Brasil
10588      QUICK     0000000002   000000003    194.67   Alemania
10589      GREAL     0000000008   000000002      4.42   Estados Unidos
10590      MEREP     0000000004   000000003     44.77   Canada
10591      VAFFE     0000000001   000000001     55.92   Dinamarca
10592      LEHMS     0000000003   000000001     32.10   Alemania
10593      LEHMS     0000000007   000000002    174.20   Alemania
10594      OLDWO     0000000003   000000002      5.24   Estados Unidos
10595      ERNSH     0000000002   000000001     96.78   Austria
10596      WHITC     0000000008   000000001     16.34   Estados Unidos
10597      PICCO     0000000007   000000003     35.12   Austria
10598      RATTC     0000000001   000000003     44.42   Estados Unidos
10599      BSBEV     0000000006   000000003     29.98   Reino Unido
10600      HUNGC     0000000004   000000001     45.13   Estados Unidos
10601      HILAA     0000000007   000000001     58.30   Venezuela
10602      VAFFE     0000000008   000000002      2.92   Dinamarca
10603      SAVEA     0000000008   000000002     48.77   Estados Unidos
10604      FURIB     0000000001   000000001      7.46   Portugal
10605      MEREP     0000000001   000000002    379.13   Canada
10606      TRADH     0000000004   000000003     79.40   Brasil
10607      SAVEA     0000000005   000000001    200.24   Estados Unidos
10608      TOMSP     0000000004   000000002     27.79   Alemania
10609      DUMON     0000000007   000000002      1.85   Francia
10610      LAMAI     0000000008   000000001     26.78   Francia
10611      WOLZA     0000000006   000000002     80.65   Polonia
10612      SAVEA     0000000001   000000002    544.08   Estados Unidos
10613      HILAA     0000000004   000000002      8.11   Venezuela
10614      BLAUS     0000000008   000000003      1.93   Alemania
10615      WILMK     0000000002   000000003      0.75   Finlandia
10616      GREAL     0000000001   000000002    116.53   Estados Unidos
10617      GREAL     0000000004   000000002     18.53   Estados Unidos
10618      MEREP     0000000001   000000001    154.68   Canada
10619      MEREP     0000000003   000000003     91.05   Canada
10620      LAUGB     0000000002   000000003      0.94   Canada
10621      ISLAT     0000000004   000000002     23.73   Reino Unido
10622      RICAR     0000000004   000000003     50.97   Brasil
10623      FRANK     0000000008   000000002     97.18   Alemania
10624      THECR     0000000004   000000002     94.80   Estados Unidos
10625      ANATR     0000000003   000000001     43.90   Mexico
10626      BERGS     0000000001   000000002    138.69   Suecia
10627      SAVEA     0000000008   000000003    107.46   Estados Unidos
10628      BLONP     0000000004   000000003     30.36   Francia
10629      GODOS     0000000004   000000003     85.46   Espanya
10630      KOENE     0000000001   000000002     32.35   Alemania
10631      LAMAI     0000000008   000000001      0.87   Francia
10632      WANDK     0000000008   000000001     41.38   Alemania
10633      ERNSH     0000000007   000000003    477.90   Austria
10634      FOLIG     0000000004   000000003    487.38   Francia
10635      MAGAA     0000000008   000000003     47.46   Italia
10636      WARTH     0000000004   000000001      1.15   Finlandia
10637      QUEEN     0000000006   000000001    201.29   Brasil
10638      LINOD     0000000003   000000001    158.44   Venezuela
10639      SANTG     0000000007   000000003     38.64   Noruega
10640      WANDK     0000000004   000000001     23.55   Alemania
10641      HILAA     0000000004   000000002    179.61   Venezuela
10642      SIMOB     0000000007   000000003     41.89   Dinamarca
10643      ALFKI     0000000006   000000002     29.46   Alemania
10644      WELLI     0000000003   000000002      0.14   Brasil
10645      HANAR     0000000004   000000001     12.41   Brasil
10646      HUNGO     0000000009   000000003    142.33   Irlanda
10647      QUEDE     0000000004   000000002     45.54   Brasil
10648      RICAR     0000000005   000000002     14.25   Brasil
10649      MAISD     0000000005   000000003      6.20   Belgica
10650      FAMIA     0000000005   000000003    176.81   Brasil
10651      WANDK     0000000008   000000002     20.60   Alemania
10652      GOURL     0000000004   000000002      7.14   Brasil
10653      FRANK     0000000001   000000001     93.25   Alemania
10654      BERGS     0000000005   000000001     55.26   Suecia
10655      REGGC     0000000001   000000002      4.41   Italia
10656      GREAL     0000000006   000000001     57.15   Estados Unidos
10657      SAVEA     0000000002   000000002    352.69   Estados Unidos
10658      QUICK     0000000004   000000001    364.15   Alemania
10659      QUEEN     0000000007   000000002    105.81   Brasil
10660      HUNGC     0000000008   000000001    111.29   Estados Unidos
10661      HUNGO     0000000007   000000003     17.55   Irlanda
10662      LONEP     0000000003   000000002      1.28   Estados Unidos
10663      BONAP     0000000002   000000002    113.15   Francia
10664      FURIB     0000000001   000000003      1.27   Portugal
10665      LONEP     0000000001   000000002     26.31   Estados Unidos
10666      RICSU     0000000007   000000002    232.42   Suiza
10667      ERNSH     0000000007   000000001     78.09   Austria
10668      WANDK     0000000001   000000002     47.22   Alemania
10669      SIMOB     0000000002   000000001     24.39   Dinamarca
10670      FRANK     0000000004   000000001    203.48   Alemania
10671      FRANR     0000000001   000000001     30.34   Francia
10672      BERGS     0000000009   000000002     95.75   Suecia
10673      WILMK     0000000002   000000001     22.76   Finlandia
10674      ISLAT     0000000004   000000002      0.90   Reino Unido
10675      FRANK     0000000005   000000002     31.85   Alemania
10676      TORTU     0000000002   000000002      2.01   Mexico
10677      ANTON     0000000001   000000003      4.03   Mexico
10678      SAVEA     0000000007   000000003    388.98   Estados Unidos
10679      BLONP     0000000008   000000003     27.94   Francia
10680      OLDWO     0000000001   000000001     26.61   Estados Unidos
10681      GREAL     0000000003   000000003     76.13   Estados Unidos
10682      ANTON     0000000003   000000002     36.13   Mexico
10683      DUMON     0000000002   000000001      4.40   Francia
10684      OTTIK     0000000003   000000001    145.63   Alemania
10685      GOURL     0000000004   000000002     33.75   Brasil
10686      PICCO     0000000002   000000001     96.50   Austria
10687      HUNGO     0000000009   000000002    296.43   Irlanda
10688      VAFFE     0000000004   000000002    299.09   Dinamarca
10689      BERGS     0000000001   000000002     13.42   Suecia
10690      HANAR     0000000001   000000001     15.80   Brasil
10691      QUICK     0000000002   000000002    810.05   Alemania
10692      ALFKI     0000000004   000000002     61.02   Alemania
10693      WHITC     0000000003   000000003    139.34   Estados Unidos
10694      QUICK     0000000008   000000003    398.36   Alemania
10695      WILMK     0000000007   000000001     16.72   Finlandia
10696      WHITC     0000000008   000000003    102.55   Estados Unidos
10697      LINOD     0000000003   000000001     45.52   Venezuela
10698      ERNSH     0000000004   000000001    272.47   Austria
10699      MORGK     0000000003   000000003      0.58   Alemania
10700      SAVEA     0000000003   000000001     65.10   Estados Unidos
10701      HUNGO     0000000006   000000003    220.31   Irlanda
10702      ALFKI     0000000004   000000001     23.94   Alemania
10703      FOLKO     0000000006   000000002    152.30   Suecia
10704      QUEEN     0000000006   000000001      4.78   Brasil
10705      HILAA     0000000009   000000002      3.52   Venezuela
10706      OLDWO     0000000008   000000003    135.63   Estados Unidos
10707      AROUT     0000000004   000000003     21.74   Reino Unido
10708      THEBI     0000000006   000000002      2.96   Estados Unidos
10709      GOURL     0000000001   000000003    210.80   Brasil
10710      FRANS     0000000001   000000001      4.98   Italia
10711      SAVEA     0000000005   000000002     52.41   Estados Unidos
10712      HUNGO     0000000003   000000001     89.93   Irlanda
10713      SAVEA     0000000001   000000001    167.05   Estados Unidos
10714      SAVEA     0000000005   000000003     24.49   Estados Unidos
10715      BONAP     0000000003   000000001     63.20   Francia
10716      RANCH     0000000004   000000002     22.57   Argentina
10717      FRANK     0000000001   000000002     59.25   Alemania
10718      KOENE     0000000001   000000003    170.88   Alemania
10719      LETSS     0000000008   000000002     51.44   Estados Unidos
10720      QUEDE     0000000008   000000002      9.53   Brasil
10721      QUICK     0000000005   000000003     48.92   Alemania
10722      SAVEA     0000000008   000000001     74.58   Estados Unidos
10723      WHITC     0000000003   000000001     21.72   Estados Unidos
10724      MEREP     0000000008   000000002     57.75   Canada
10725      FAMIA     0000000004   000000003     10.83   Brasil
10726      EASTC     0000000004   000000001     16.56   Reino Unido
10727      REGGC     0000000002   000000001     89.90   Italia
10728      QUEEN     0000000004   000000002     58.33   Brasil
10729      LINOD     0000000008   000000003    141.06   Venezuela
10730      BONAP     0000000005   000000001     20.12   Francia
10731      CHOPS     0000000007   000000001     96.65   Suiza
10732      BONAP     0000000003   000000001     16.97   Francia
10733      BERGS     0000000001   000000003    110.11   Suecia
10734      GOURL     0000000002   000000003      1.63   Brasil
10735      LETSS     0000000006   000000002     45.97   Estados Unidos
10736      HUNGO     0000000009   000000002     44.10   Irlanda
10737      VINET     0000000002   000000002      7.79   Francia
10738      SPECD     0000000002   000000001      2.91   Francia
10739      VINET     0000000003   000000003     11.08   Francia
10740      WHITC     0000000004   000000002     81.88   Estados Unidos
10741      BERGS     0000000004   000000003     10.96   Suecia
10742      BOTTM     0000000003   000000003    243.73   Canada
10743      AROUT     0000000001   000000002     23.72   Reino Unido
10744      VAFFE     0000000006   000000001     69.19   Dinamarca
10745      QUICK     0000000009   000000001      3.52   Alemania
10746      CHOPS     0000000001   000000003     31.43   Suiza
10747      PICCO     0000000006   000000001    117.33   Austria
10748      SAVEA     0000000003   000000001    232.55   Estados Unidos
10749      ISLAT     0000000004   000000002     61.53   Reino Unido
10750      WARTH     0000000009   000000001     79.30   Finlandia
10751      RICSU     0000000003   000000003    130.79   Suiza
10752      NORTS     0000000002   000000003      1.39   Reino Unido
10753      FRANS     0000000003   000000001      7.70   Italia
10754      MAGAA     0000000006   000000003      2.38   Italia
10755      BONAP     0000000004   000000002     16.71   Francia
10756      SPLIR     0000000008   000000002     73.21   Estados Unidos
10757      SAVEA     0000000006   000000001      8.19   Estados Unidos
10758      RICSU     0000000003   000000003    138.17   Suiza
10759      ANATR     0000000003   000000003     11.99   Mexico
10760      MAISD     0000000004   000000001    155.64   Belgica
10761      RATTC     0000000005   000000002     18.66   Estados Unidos
10762      FOLKO     0000000003   000000001    328.74   Suecia
10763      FOLIG     0000000003   000000003     37.35   Francia
10764      ERNSH     0000000006   000000003    145.45   Austria
10765      QUICK     0000000003   000000003     42.74   Alemania
